,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
9,docstring,HISP,kl_div,reset,zero_ablation,roc_edges,0.5705917159763314,103,10.596099702438506,11.933610916137695,7.754702091217041,10.596099702438506,11.933610916137695,7.754702091217041
10,docstring,SP,kl_div,reset,zero_ablation,roc_edges,0.7038461538461539,34,6.280037361383438,9.07697696685791,5.376222229003906,6.280037361383438,9.07697696685791,5.376222229003906
11,docstring,ACDC,kl_div,reset,zero_ablation,roc_edges,0.4001183431952663,23,4.701806522551037,7.691262245178223,3.586089611053467,4.701806522551037,7.691262245178223,3.586089611053467
12,greaterthan,HISP,kl_div,reset,zero_ablation,roc_edges,0.3171065851962578,447,8.918549829118707,16.382963180541992,6.902437686920166,8.918549829118707,16.382963180541992,6.902437686920166
13,greaterthan,SP,kl_div,reset,zero_ablation,roc_edges,0.43752260192915776,7,3.256229913234711,3.3991921067237856,3.139820599555969,3.256229913234711,3.3991921067237856,3.139820599555969
14,greaterthan,ACDC,kl_div,reset,zero_ablation,roc_edges,0.8600687262874764,30,6.406237517084394,14.35906982421875,1.5343024730682373,6.406237517084394,14.35906982421875,1.5343024730682373
0,induction,HISP,kl_div,reset,zero_ablation,induction_kl_edges,,51,12.28577370546302,16.13389015197754,8.18886661529541,12.28577370546302,16.13389015197754,8.18886661529541
1,induction,SP,kl_div,reset,zero_ablation,induction_kl_edges,,34,8.91684938967228,9.702079033851623,8.274167037010193,8.91684938967228,9.702079033851623,8.274167037010193
2,induction,ACDC,kl_div,reset,zero_ablation,induction_kl_edges,,23,9.278816677275158,10.388282775878906,8.719529151916504,9.278816677275158,10.388282775878906,8.719529151916504
0,ioi,HISP,logit_diff,trained,random_ablation,roc_nodes,0.2825641152344715,447,4.406442005230245,4.75932502746582,2.2848002600994732e-08,0.13831878522060434,0.721760630607605,-4.112348556518555
1,ioi,SP,logit_diff,trained,random_ablation,roc_nodes,0.8143808370805949,23,0.947604869731835,1.7906168192625045,0.521048940718174,-10.426929923466272,-3.393638849258423,-11.740654611587525
2,ioi,ACDC,logit_diff,trained,random_ablation,roc_nodes,0.9219437169540939,23,2.0361231565475464,4.7592549324035645,0.38457122445106506,-5.063716797601609,-0.015996932983398438,-16.0833683013916
3,tracr-reverse,HISP,l2,trained,random_ablation,roc_nodes,0.75,19,0.02856273510876824,0.24278324842453003,0.0,0.0697166919708252,0.5925918817520142,0.0
4,tracr-reverse,SP,l2,trained,random_ablation,roc_nodes,0.5328947368421053,13,0.0015427560037179237,0.006125696562230587,0.0,0.0038583355763793484,0.015247320383787155,0.0
